Program Time [s],data 0
737.178,1531
737.178,1579
737.244,1599
737.244,1611
737.244,1686
737.244,1836
737.244,2069
737.244,2360
737.244,2566
737.245,2527
737.245,2427
737.245,2259
737.311,1355
737.311,1379
737.311,1381
737.311,1391
737.311,1426
737.311,1492
737.311,1579
737.311,1672
737.311,1719
737.311,1701
737.311,1692
737.378,1704
737.378,1711
737.378,1727
737.378,1734
737.378,1735
737.378,1747
737.378,1771
737.378,1775
737.378,1779
737.378,1783
737.378,1773
737.442,1759
737.442,1765
737.442,1769
737.442,1786
737.442,1817
737.442,1837
737.442,1866
737.442,1881
737.442,1877
737.442,1879
737.519,1779
737.519,1782
737.519,1774
737.519,1759
737.519,1757
737.519,1765
737.519,1767
737.519,1779
737.52,1769
737.52,1765
737.586,1749
737.586,1737
737.586,1749
737.586,1758
737.586,1773
737.586,1779
737.586,1779
737.586,1785
737.586,1791
737.586,1789
737.586,1788
737.653,1779
737.653,1775
737.653,1787
737.653,1785
737.653,1768
737.653,1759
737.653,1766
737.653,1768
737.653,1752
737.653,1749
737.653,1751
737.72,1755
737.72,1755
737.72,1748
737.72,1739
737.72,1748
737.72,1765
737.72,1767
737.72,1763
737.72,1751
737.72,1735
737.786,1812
737.786,1787
737.786,1775
737.786,1779
737.786,1785
737.786,1803
737.786,1839
737.786,1891
737.786,1911
737.786,1917
737.786,1919
737.853,1962
737.853,2025
737.853,2057
737.853,2066
737.853,2071
737.853,2057
737.853,2020
737.853,1981
737.853,1939
737.853,1912
737.853,1904
737.917,1871
737.917,1805
737.917,1717
737.917,1685
737.917,1695
737.917,1715
737.917,1715
737.917,1709
737.917,1711
737.917,1391
737.995,1735
737.995,1781
737.995,1787
737.995,1787
737.995,1799
737.995,1787
737.995,1789
737.995,1813
737.995,1835
737.995,1835
738.061,1833
738.061,1830
738.061,1821
738.061,1831
738.061,1848
738.061,1853
738.061,1854
738.061,1868
738.061,1879
738.061,1883
738.061,1875
738.128,1877
738.128,1891
738.128,1915
738.128,1935
738.128,1940
738.128,1958
738.128,1963
738.128,1973
738.128,1989
738.128,1992
738.128,1991
738.195,2007
738.195,2024
738.195,2040
738.195,2055
738.195,2045
738.195,2058
738.195,2077
738.195,2077
738.195,2083
738.195,2089
738.261,2037
738.261,1995
738.261,1944
738.261,1925
738.261,1915
738.261,1896
738.261,1865
738.261,1832
738.261,1815
738.261,1817
738.261,1818
738.328,1803
738.328,1772
738.328,1766
738.328,1763
738.328,1767
738.328,1779
738.328,1779
738.328,1785
738.328,1801
738.328,1791
738.328,1789
738.391,1779
738.391,1765
738.392,1769
738.392,1784
738.392,1799
738.392,1801
738.392,1803
738.392,1803
738.392,1782
738.392,1791
738.469,1891
738.469,1917
738.469,1975
738.469,2026
738.469,2063
738.469,2076
738.469,2072
738.469,2039
738.469,1994
738.469,1931
738.536,1883
738.536,1851
738.536,1815
738.536,1753
738.536,1674
738.536,1639
738.536,1656
738.536,1675
738.536,1685
738.536,1686
738.536,1671
738.603,1670
738.603,1655
738.603,1657
738.603,1685
738.603,1688
738.603,1693
738.603,1687
738.603,1686
738.603,1656
738.603,1609
738.603,1553
738.669,1527
738.669,1549
738.669,1589
738.669,1635
738.669,1677
738.669,1781
738.669,1979
738.669,2267
738.669,2591
738.669,2792
738.736,1207
738.736,1255
738.736,1300
738.736,1304
738.736,1307
738.736,1307
738.736,1317
738.736,1339
738.736,1414
738.736,1507
738.736,1581
738.803,1592
738.803,1577
738.803,1567
738.803,1561
738.803,1579
738.803,1583
738.803,1581
738.803,1578
738.803,1565
738.803,1561
738.803,1576
738.866,1584
738.866,1565
738.867,1544
738.867,1553
738.867,1566
738.867,1565
738.867,1568
738.867,1564
738.867,1567
738.867,1421
738.944,1199
738.944,1171
738.944,1159
738.944,1140
738.944,1123
738.944,1117
738.944,1127
738.944,1129
738.944,1117
738.944,1123
739.011,1111
739.011,1111
739.011,1123
739.011,1115
739.011,1103
739.011,1111
739.011,1131
739.011,1147
739.011,1133
739.011,1109
739.011,1093
739.077,1108
739.077,1127
739.077,1116
739.077,1101
739.078,1096
739.078,1111
739.078,1139
739.078,1149
739.078,1146
739.078,1129
739.078,1132
739.144,1160
739.144,1171
739.144,1157
739.144,1141
739.144,1147
739.144,1171
739.144,1181
739.144,1171
739.144,1173
739.144,1195
739.211,1516
739.211,1561
739.211,1573
739.211,1590
739.211,1587
739.211,1530
739.211,1491
739.211,1529
739.211,1591
739.211,1568
739.211,1481
739.277,1381
739.277,1368
739.277,1415
739.277,1439
739.278,1468
739.278,1497
739.278,1511
739.278,1529
739.278,1557
739.278,1575
739.278,1598
739.341,1625
739.341,1635
739.341,1659
739.341,1691
739.341,1711
739.341,1723
739.341,1711
739.341,1685
739.341,1691
739.341,2548
739.419,2826
739.419,2863
739.419,2901
739.419,2941
739.419,2985
739.419,2999
739.419,3002
739.419,3021
739.419,3055
739.419,3095
739.486,3112
739.486,3140
739.486,3195
739.486,3263
739.486,3311
739.486,3319
739.486,3333
739.486,3359
739.486,3417
739.486,3475
739.486,3529
739.552,3565
739.552,3627
739.552,3701
739.552,3737
739.553,3721
739.553,3739
739.553,3772
739.553,3821
739.553,3863
739.553,3865
739.553,3876
739.619,3883
739.619,3891
739.619,3892
739.619,3864
739.619,3811
739.619,3785
739.619,3787
739.619,3795
739.619,3757
739.619,3695
739.686,3530
739.686,3543
739.686,3543
739.686,3546
739.686,3533
739.686,3503
739.686,3485
739.686,3467
739.686,3469
739.686,3501
739.686,3528
739.752,3555
739.752,3573
739.752,3597
739.752,3615
739.752,3619
739.753,3589
739.753,3565
739.753,3589
739.753,3629
739.753,3654
739.753,3639
739.816,3607
739.816,3605
739.816,3603
739.816,3605
739.816,3603
739.816,3597
739.816,3601
739.816,3593
739.816,3567
739.816,3078
739.894,2959
739.894,2939
739.894,2923
739.894,2901
739.894,2855
739.894,2799
739.894,2781
739.894,2809
739.894,2859
739.894,2889
739.961,2939
739.961,3055
739.961,3259
739.961,3622
739.961,4043
739.961,4055
739.961,4037
739.961,3995
739.961,3679
739.961,3104
739.961,2665
740.027,2419
740.027,2281
740.027,2229
740.027,2230
740.027,2264
740.027,2297
740.027,2326
740.027,2343
740.027,2361
740.027,2383
740.027,2410
740.094,2458
740.094,2557
740.094,2651
740.094,2684
740.094,2668
740.094,2643
740.094,2631
740.094,2629
740.094,2623
740.094,2621
740.161,2590
740.161,2553
740.161,2520
740.161,2510
740.161,2516
740.161,2536
740.161,2543
740.161,2544
740.161,2536
740.161,2535
740.161,2537
740.227,2535
740.227,2535
740.227,2524
740.227,2534
740.227,2556
740.227,2587
740.227,2582
740.227,2541
740.227,2519
740.227,2517
740.227,2531
740.291,2547
740.291,2533
740.291,2511
740.291,2504
740.291,2484
740.291,2455
740.291,2431
740.291,2444
740.291,2455
740.291,1835
740.369,1781
740.369,1797
740.369,1812
740.369,1787
740.369,1787
740.369,1809
740.369,1799
740.369,1766
740.369,1727
740.369,1715
740.436,1722
740.436,1727
740.436,1719
740.436,1721
740.436,1718
740.436,1677
740.436,1647
740.436,1647
740.436,1679
740.436,1712
740.436,1748
740.502,1741
740.502,1719
740.502,1707
740.502,1693
740.502,1687
740.502,1710
740.502,1763
740.502,1784
740.502,1780
740.502,1771
740.502,1789
740.569,1805
740.569,1801
740.569,1785
740.569,1747
740.569,1741
740.569,1695
740.569,1592
740.569,1454
740.569,1350
740.569,1331
740.636,1391
740.636,1341
740.636,1323
740.636,1333
740.636,1336
740.636,1319
740.636,1287
740.636,1257
740.636,1263
740.636,1303
740.636,1323
740.702,1317
740.702,1365
740.702,1486
740.702,1653
740.702,1880
740.702,2158
740.702,2310
740.702,2226
740.702,2089
740.702,1903
740.702,1581
740.768,1211
740.768,1001
740.768,907
740.768,877
740.768,907
740.768,967
740.768,1031
740.768,1053
740.768,1049
740.768,1047
740.768,1563
740.847,1749
740.847,1749
740.847,1775
740.847,1827
740.847,1853
740.847,1836
740.847,1809
740.847,1800
740.847,1805
740.847,1821
740.914,1835
740.914,1843
740.914,1845
740.914,1833
740.914,1821
740.914,1807
740.914,1782
740.914,1753
740.914,1749
740.914,1756
740.914,1751
740.98,1753
740.98,1763
740.98,1747
740.98,1703
740.98,1660
740.98,1652
740.98,1688
740.98,1725
740.98,1732
740.98,1718
740.98,1707
741.047,1717
741.047,1736
741.047,1722
741.047,1695
741.047,1688
741.047,1704
741.047,1723
741.047,1749
741.047,1751
741.047,1753
741.114,1810
741.114,1788
741.114,1791
741.114,1823
741.114,1831
741.114,1805
741.114,1804
741.114,1816
741.114,1840
741.114,1855
741.114,1855
741.181,1843
741.181,1829
741.181,1829
741.181,1838
741.181,1848
741.181,1847
741.181,1855
741.181,1885
741.181,1882
741.181,1869
741.181,1887
741.244,1933
741.244,1963
741.244,1961
741.244,1935
741.244,1901
741.244,1891
741.244,1892
741.244,1911
741.244,1925
741.244,1941
741.322,2005
741.322,1981
741.322,1965
741.322,1965
741.322,1998
741.322,2019
741.322,1997
741.322,1945
741.322,1899
741.322,1892
741.389,1919
741.389,1963
741.389,1993
741.389,2067
741.389,2217
741.389,2459
741.389,2798
741.389,3149
741.389,3212
741.389,3050
741.389,2805
741.455,2463
741.455,2089
741.455,1800
741.455,1615
741.455,1503
741.455,1495
741.455,1561
741.455,1628
741.455,1675
741.455,1701
741.455,1693
741.522,1701
741.522,1723
741.522,1800
741.522,1911
741.522,2021
741.522,2093
741.522,2107
741.522,2100
741.522,2065
741.522,2023
741.589,2019
741.589,2022
741.589,2026
741.589,2006
741.589,1979
741.589,1997
741.589,2031
741.589,2059
741.589,2085
741.589,2132
741.589,2156
741.655,2157
741.655,2136
741.656,2080
741.656,2102
741.656,2163
741.656,2184
741.656,2181
741.656,2181
741.656,2219
741.656,2261
741.656,2292
741.714,2341
741.714,2327
741.714,2281
741.714,2287
741.714,2379
741.714,2451
741.714,2469
741.714,2415
741.714,2101
741.792,2195
