Program Time [s],data 0
1178.76,1813
1178.76,1815
1178.76,1807
1178.76,1791
1178.76,1788
1178.76,1804
1178.76,1811
1178.82,1807
1178.82,1800
1178.82,1789
1178.82,1789
1178.82,1803
1178.82,1823
1178.82,1843
1178.82,1851
1178.82,1879
1178.82,1919
1178.9,1988
1178.9,1995
1178.9,2007
1178.9,1995
1178.9,1979
1178.9,1981
1178.9,2003
1178.9,2022
1178.9,2030
1178.9,2036
1178.97,2039
1178.97,2055
1178.97,2069
1178.97,2077
1178.97,2074
1178.97,2089
1178.97,2107
1178.97,2122
1178.97,2125
1178.97,2120
1178.97,2103
1179.03,2093
1179.03,2091
1179.03,2083
1179.03,2075
1179.03,2071
1179.03,2053
1179.03,2035
1179.03,2025
1179.03,2007
1179.03,1997
1179.03,1995
1179.1,1979
1179.1,1957
1179.1,1931
1179.1,1893
1179.1,1874
1179.1,1864
1179.1,1855
1179.1,1847
1179.1,1833
1179.1,1811
1179.17,1786
1179.17,1809
1179.17,1821
1179.17,1827
1179.17,1823
1179.17,1817
1179.17,1820
1179.17,1823
1179.17,1811
1179.17,1783
1179.17,1749
1179.23,1724
1179.23,1723
1179.23,1747
1179.23,1771
1179.23,1797
1179.23,1812
1179.23,1816
1179.23,1807
1179.23,1780
1179.23,1759
1179.23,1758
1179.3,1783
1179.3,1810
1179.3,1819
1179.3,1807
1179.3,1809
1179.3,1830
1179.3,1862
1179.3,1848
1179.3,1835
1179.3,1875
1179.37,2042
1179.37,2011
1179.37,1961
1179.37,1919
1179.37,1899
1179.37,1891
1179.37,1880
1179.37,1854
1179.37,1839
1179.37,1843
1179.44,1852
1179.44,1879
1179.44,1887
1179.44,1895
1179.44,1875
1179.44,1828
1179.44,1787
1179.44,1783
1179.44,1787
1179.44,1781
1179.44,1791
1179.51,1804
1179.51,1829
1179.51,1867
1179.51,1893
1179.51,1883
1179.51,1879
1179.51,1949
1179.51,2157
1179.51,2487
1179.51,2813
1179.51,2643
1179.57,1875
1179.57,1145
1179.57,804
1179.57,775
1179.57,927
1179.57,1109
1179.57,1178
1179.57,1211
1179.57,1311
1179.57,1443
1179.57,1848
1179.64,1867
1179.64,1912
1179.64,1971
1179.64,1991
1179.64,1999
1179.64,2007
1179.64,2009
1179.64,1989
1179.64,1968
1179.64,1980
1179.71,1981
1179.71,1997
1179.71,1999
1179.71,1997
1179.71,1993
1179.71,1992
1179.71,1994
1179.71,2004
1179.71,2011
1179.71,2012
1179.71,1994
1179.78,1990
1179.78,1998
1179.78,2019
1179.78,2039
1179.78,2077
1179.78,2103
1179.78,2111
1179.78,2120
1179.78,2136
1179.78,2153
1179.78,1854
1179.85,1813
1179.85,1815
1179.85,1831
1179.85,1851
1179.85,1869
1179.85,1863
1179.85,1827
1179.85,1790
1179.85,1779
1179.85,1783
1179.92,1804
1179.92,1815
1179.92,1809
1179.92,1799
1179.92,1806
1179.92,1827
1179.92,1832
1179.92,1823
1179.92,1821
1179.92,1823
1179.92,1818
1179.99,1799
1179.99,1800
1179.99,1818
1179.99,1834
1179.99,1831
1179.99,1813
1179.99,1813
1179.99,1829
1179.99,1861
1179.99,1882
1179.99,1875
1180.05,1849
1180.05,1814
1180.05,1801
1180.05,1803
1180.05,1803
1180.05,1773
1180.05,1785
1180.05,1824
1180.05,1852
1180.05,1855
1180.12,1800
1180.12,1797
1180.12,1807
1180.12,1819
1180.12,1817
1180.12,1805
1180.12,1805
1180.12,1829
1180.12,1853
1180.12,1866
1180.12,1851
1180.19,1823
1180.19,1821
1180.19,1839
1180.19,1851
1180.19,1853
1180.19,1861
1180.19,1848
1180.19,1840
1180.19,1843
1180.19,1836
1180.19,1823
1180.25,1806
1180.25,1790
1180.25,1797
1180.25,1814
1180.25,1832
1180.25,1839
1180.25,1845
1180.25,1869
1180.25,1879
1180.25,1831
1180.33,2003
1180.33,1981
1180.33,1929
1180.33,1927
1180.33,2057
1180.33,2309
1180.33,2655
1180.33,2749
1180.33,2173
1180.33,1379
1180.39,909
1180.39,787
1180.39,876
1180.39,1065
1180.39,1197
1180.39,1255
1180.39,1337
1180.39,1470
1180.39,1635
1180.39,1783
1180.39,1863
1180.46,1875
1180.46,1871
1180.46,1875
1180.46,1883
1180.46,1903
1180.46,1914
1180.46,1918
1180.46,1927
1180.46,1929
1180.46,1919
1180.46,1913
1180.53,1919
1180.53,1939
1180.53,1951
1180.53,1987
1180.53,2029
1180.53,2057
1180.53,2053
1180.53,2021
1180.53,1997
1180.53,1983
1180.53,2035
1180.59,2058
1180.59,2055
1180.59,2031
1180.59,2027
1180.59,2053
1180.59,2084
1180.59,2104
1180.59,2103
1180.59,2099
1180.59,2111
1180.66,2135
1180.66,2157
1180.66,2153
1180.66,2131
1180.66,2099
1180.66,2067
1180.66,2041
1180.66,2030
1180.66,2023
1180.66,2021
1180.66,2029
1180.73,2035
1180.73,2019
1180.73,2005
1180.73,2015
1180.73,2026
1180.73,2008
1180.73,1978
1180.73,1949
1180.73,1930
1180.73,1896
1180.73,1781
1180.8,1855
1180.8,1883
1180.8,1926
1180.8,1947
1180.8,1925
1180.8,1875
1180.8,1829
1180.8,1763
1180.8,1705
1180.8,1701
1180.87,1721
1180.87,1754
1180.87,1789
1180.87,1822
1180.87,1837
1180.87,1837
1180.87,1827
1180.87,1821
1180.87,1807
1180.87,1815
1180.87,1851
1180.94,1893
1180.94,1931
1180.94,1939
1180.94,1907
1180.94,1861
1180.94,1811
1180.94,1789
1180.94,1766
1180.94,1770
1180.94,1784
1180.94,1781
1181,1769
1181,1781
1181,1800
1181,1827
1181,1848
1181,1864
1181,1852
1181,1853
1181,1877
1181.01,1919
1181.07,1834
1181.07,1850
1181.07,1863
1181.07,1881
1181.07,1917
1181.07,1955
1181.07,1997
1181.07,2023
1181.07,2035
1181.07,2057
1181.07,2055
1181.14,2031
1181.14,2027
1181.14,2005
1181.14,1949
1181.14,1881
1181.14,1835
1181.14,1814
1181.14,1803
1181.14,1783
1181.14,1767
1181.14,1769
1181.2,1790
1181.2,1814
1181.2,1824
1181.2,1827
1181.2,1837
1181.2,1867
1181.2,1883
1181.2,1899
1181.2,1914
1181.27,2003
1181.27,1979
1181.27,1981
1181.27,1998
1181.27,2009
1181.27,2003
1181.27,1975
1181.27,1958
1181.27,1957
1181.27,1965
1181.34,2007
1181.34,2039
1181.34,2045
1181.34,2031
1181.34,2029
1181.34,2040
1181.34,2072
1181.34,2089
1181.34,2076
1181.34,2073
1181.34,2079
1181.41,2104
1181.41,2125
1181.41,2119
1181.41,2088
1181.41,2074
1181.41,2099
1181.41,2109
1181.41,2107
1181.41,2089
1181.41,2039
1181.41,2011
1181.47,2009
1181.47,2027
1181.47,2038
1181.47,2038
1181.47,2007
1181.47,1979
1181.47,1957
1181.47,1951
1181.47,1948
1181.47,1931
1181.54,1797
1181.54,1821
1181.54,1832
1181.54,1817
1181.54,1785
1181.54,1787
1181.54,1801
1181.54,1801
1181.54,1816
1181.54,1851
1181.54,1865
1181.61,1843
1181.61,1805
1181.61,1767
1181.61,1751
1181.61,1765
1181.61,1805
1181.61,1817
1181.61,1805
1181.61,1800
1181.61,1797
1181.61,1799
1181.67,1800
1181.67,1805
1181.67,1814
1181.67,1813
1181.67,1823
1181.67,1844
1181.67,1855
1181.67,1835
1181.67,1812
1181.67,1723
1181.75,1897
1181.75,1893
1181.75,1891
1181.75,1928
1181.75,1981
1181.75,1997
1181.75,1971
1181.75,1928
1181.75,1899
1181.75,1891
1181.82,1899
1181.82,1940
1181.82,1963
1181.82,1951
1181.82,1919
1181.82,1885
1181.82,1855
1181.82,1814
1181.82,1765
1181.82,1739
1181.82,1757
1181.88,1789
1181.88,1786
1181.88,1756
1181.88,1721
1181.88,1719
1181.88,1753
1181.88,1781
1181.88,1805
1181.88,1811
1181.88,1817
1181.88,1862
1181.95,1883
1181.95,1895
1181.95,1935
1181.95,2063
1181.95,2279
1181.95,2567
1181.95,2646
1181.95,2107
1181.95,1331
1181.95,844
1182.02,1540
1182.02,1701
1182.02,1771
1182.02,1773
1182.02,1791
1182.02,1835
1182.02,1871
1182.02,1893
1182.02,1908
1182.02,1917
1182.02,1919
1182.08,1917
1182.08,1917
1182.08,1911
1182.08,1941
1182.08,1971
1182.08,1993
1182.08,1965
1182.08,1919
1182.08,1893
1182.08,1887
1182.08,1915
1182.15,1951
1182.15,1961
1182.15,1965
1182.15,1981
1182.15,2007
1182.15,2015
1182.15,2023
1182.15,2037
1182.15,2041
1182.15,1855
1182.22,1817
1182.22,1845
1182.22,1880
1182.22,1895
1182.22,1886
1182.22,1849
1182.22,1829
1182.22,1839
1182.22,1853
1182.22,1851
1182.29,1838
1182.29,1813
1182.29,1798
1182.29,1801
1182.29,1811
1182.29,1828
1182.29,1847
1182.29,1863
1182.29,1851
1182.29,1847
1182.29,1851
1182.36,1885
1182.36,1937
1182.36,1961
1182.36,1945
1182.36,1911
1182.36,1868
1182.36,1850
1182.36,1821
1182.36,1787
1182.36,1785
1182.36,1811
1182.42,1833
1182.42,1849
1182.42,1854
1182.42,1853
1182.42,1852
1182.42,1851
1182.42,1849
1182.42,1855
1182.42,1900
1182.42,1959
1182.49,2031
1182.49,2041
1182.49,2025
1182.49,1991
1182.49,1976
1182.49,1991
1182.49,1972
1182.49,1925
1182.49,1879
1182.49,1833
1182.49,1822
1182.56,1846
1182.56,1853
1182.56,1837
1182.56,1811
1182.56,1787
1182.56,1801
1182.56,1821
1182.56,1819
1182.56,1789
1182.56,1770
1182.56,1786
1182.62,1839
1182.62,1886
1182.62,1889
1182.62,1865
1182.62,1907
1182.62,2073
1182.62,2345
1182.62,2667
1182.62,2927
1182.62,1903
1182.7,2038
1182.7,2040
1182.7,2053
1182.7,2065
1182.7,2065
1182.7,2044
1182.7,2039
1182.7,2039
1182.7,2063
1182.7,2087
1182.77,2123
1182.77,2155
1182.77,2157
1182.77,2167
1182.77,2172
1182.77,2167
1182.77,2151
1182.77,2126
1182.77,2099
1182.77,2079
1182.77,2072
1182.83,2070
1182.83,2087
1182.83,2111
1182.83,2124
1182.83,2104
1182.83,2065
1182.83,2009
1182.83,1961
1182.83,1942
1182.83,1928
1182.83,1915
1182.9,1910
1182.9,1903
1182.9,1903
1182.9,1899
1182.9,1877
1182.9,1831
1182.9,1785
1182.9,1775
1182.9,1809
1182.9,1843
1182.97,1832
1182.97,1832
1182.97,1833
1182.97,1855
1182.97,1877
1182.97,1871
1182.97,1861
1182.97,1831
1182.97,1811
1182.97,1789
1182.97,1803
