Program Time [s],data 0
2173.25,1785
2173.25,1847
2173.25,1811
2173.25,1753
2173.25,1750
2173.32,1801
2173.32,1821
2173.32,1773
2173.32,1659
2173.32,1579
2173.32,1591
2173.32,1695
2173.32,1779
2173.32,1849
2173.32,1917
2173.38,1337
2173.38,1321
2173.38,1481
2173.38,1676
2173.38,1769
2173.38,1773
2173.38,1827
2173.38,2035
2173.38,2377
2173.38,2533
2173.38,2315
2173.45,1909
2173.45,1613
2173.45,1478
2173.45,1479
2173.45,1499
2173.45,1553
2173.45,1661
2173.45,1849
2173.45,2040
2173.45,2131
2173.45,2117
2173.51,2137
2173.51,2233
2173.51,2187
2173.51,1993
2173.51,1802
2173.51,1775
2173.51,1829
2173.51,1835
2173.51,1800
2173.51,983
2173.59,1197
2173.59,1453
2173.59,1645
2173.59,1749
2173.59,1821
2173.59,1942
2173.59,2119
2173.59,2253
2173.59,2276
2173.59,2187
2173.66,2044
2173.66,1803
2173.66,1573
2173.66,1589
2173.66,1819
2173.66,1963
2173.66,1897
2173.66,1739
2173.66,1655
2173.66,1737
2173.66,1885
2173.72,2066
2173.72,2213
2173.72,2260
2173.72,2175
2173.72,2159
2173.72,2201
2173.72,2190
2173.72,2065
2173.72,1910
2173.72,1867
2173.72,1917
2173.79,1965
2173.79,1943
2173.79,1897
2173.79,1930
2173.79,2065
2173.79,2184
2173.79,2211
2173.79,2189
2173.79,2212
2173.79,2301
2173.86,2110
2173.86,2044
2173.86,2020
2173.86,2009
2173.86,1981
2173.86,2023
2173.86,2136
2173.86,2197
2173.86,2083
2173.86,1848
2173.86,1620
2173.92,1551
2173.92,1599
2173.92,1707
2173.92,1831
2173.92,1933
2173.92,2011
2173.92,2063
2173.92,2053
2173.92,1961
2173.92,1863
2173.92,1797
2173.99,1790
2173.99,1855
2173.99,1919
2173.99,1879
2173.99,1734
2173.99,1564
2173.99,1486
2173.99,1529
2173.99,1613
2173.99,1455
2174.07,1877
2174.07,2140
2174.07,2439
2174.07,2458
2174.07,2174
2174.07,1860
2174.07,1673
2174.07,1563
2174.07,1485
2174.07,1479
2174.13,1568
2174.13,1691
2174.13,1768
2174.13,1735
2174.13,1740
2174.13,1939
2174.13,2223
2174.13,2360
2174.13,2197
2174.13,1868
2174.13,1635
2174.2,1623
2174.2,1708
2174.2,1753
2174.2,1745
2174.2,1704
2174.2,1671
2174.2,1670
2174.2,1677
2174.2,1747
2174.2,1941
2174.2,2187
2174.27,2335
2174.27,2281
2174.27,2093
2174.27,1935
2174.27,1878
2174.27,1885
2174.27,1817
2174.27,1677
2174.27,1613
2174.27,1671
2174.33,2041
2174.33,1990
2174.33,1861
2174.33,1689
2174.33,1577
2174.33,1575
2174.33,1671
2174.33,1787
2174.33,1837
2174.33,1838
2174.33,1811
2174.4,1799
2174.4,1819
2174.4,1883
2174.4,1927
2174.4,1939
2174.4,2037
2174.4,2255
2174.4,2487
2174.4,2669
2174.4,2789
2174.4,2463
2174.47,1747
2174.47,1165
2174.47,902
2174.47,809
2174.47,845
2174.47,1012
2174.47,1146
2174.47,1249
2174.47,1396
2174.47,1619
2174.47,1903
2174.54,2153
2174.54,2011
2174.54,1933
2174.54,1931
2174.54,2012
2174.54,2099
2174.54,2117
2174.54,2099
2174.54,2083
2174.54,2099
2174.61,2135
2174.61,2163
2174.61,2167
2174.61,2119
2174.61,2022
2174.61,1944
2174.61,1925
2174.61,1973
2174.61,2005
2174.61,1955
2174.61,1891
2174.68,1915
2174.68,1990
2174.68,2025
2174.68,1944
2174.68,1834
2174.68,1773
2174.68,1735
2174.68,1717
2174.68,1741
2174.68,1753
2174.68,1739
2174.74,1721
2174.74,1735
2174.74,1805
2174.74,1963
2174.74,2119
2174.74,2104
2174.74,1941
2174.74,1780
2174.74,1733
2174.74,1689
2174.81,2015
2174.81,1977
2174.81,1893
2174.81,1819
2174.81,1780
2174.81,1746
2174.81,1724
2174.81,1702
2174.81,1614
2174.81,1579
2174.81,1629
2174.88,1707
2174.88,1829
2174.88,1949
2174.88,1981
2174.88,1996
2174.88,2075
2174.88,2133
2174.88,2079
2174.88,1907
2174.88,1711
2174.88,1627
2174.94,1630
2174.94,1623
2174.94,1584
2174.94,1591
2174.94,1673
2174.94,1752
2174.94,1779
2174.94,1797
2174.94,1820
2174.94,1717
2175.02,1884
2175.02,1788
2175.02,1815
2175.02,1835
2175.02,1807
2175.02,1800
2175.02,1874
2175.02,1998
2175.02,2059
2175.02,2005
2175.08,1919
2175.08,1919
2175.08,1951
2175.08,1955
2175.08,1961
2175.08,2009
2175.08,2024
2175.08,1957
2175.08,1816
2175.08,1717
2175.08,1709
2175.15,1736
2175.15,1747
2175.15,1743
2175.15,1757
2175.15,1773
2175.15,1751
2175.15,1747
2175.15,1823
2175.15,1949
2175.15,2025
2175.15,2070
2175.22,2169
2175.22,2407
2175.22,2712
2175.22,2870
2175.22,2360
2175.22,1497
2175.22,878
2175.22,701
2175.22,813
2175.22,1055
2175.22,2221
2175.28,2191
2175.28,1983
2175.28,1843
2175.28,1817
2175.28,1813
2175.28,1773
2175.29,1719
2175.29,1735
2175.29,1757
2175.29,1805
2175.35,1892
2175.35,1992
2175.35,2015
2175.35,1976
2175.35,1940
2175.35,1983
2175.35,2067
2175.35,2111
2175.35,2103
2175.35,2057
2175.35,2040
2175.42,2071
2175.42,2014
2175.42,1933
2175.42,1927
2175.42,1955
2175.42,1931
2175.42,1902
2175.42,1875
2175.42,1867
2175.42,1891
2175.42,1721
2175.5,1748
2175.5,1775
2175.5,1769
2175.5,1710
2175.5,1653
2175.5,1636
2175.5,1674
2175.5,1723
2175.5,1767
2175.5,1813
2175.56,1847
2175.56,1894
2175.56,1963
2175.56,1995
2175.56,1971
2175.56,1883
2175.56,1780
2175.56,1739
2175.56,1820
2175.56,1897
2175.56,1855
2175.63,1703
2175.63,1623
2175.63,1635
2175.63,1683
2175.63,1703
2175.63,1733
2175.63,1807
2175.63,1867
2175.63,1927
2175.63,2038
2175.63,2131
2175.7,2095
2175.7,1958
2175.7,1805
2175.7,1657
2175.7,1528
2175.7,1449
2175.7,1490
2175.7,1619
2175.7,1716
2175.7,1767
2175.76,1596
2175.76,1483
2175.76,1515
2175.76,1612
2175.76,1647
2175.76,1653
2175.76,1692
2175.76,1771
2175.76,1865
2175.76,1911
2175.76,1943
2175.83,2031
2175.83,2163
2175.83,2221
2175.83,2107
2175.83,1868
2175.83,1700
2175.83,1648
2175.83,1643
2175.83,1653
2175.83,1693
2175.83,1823
2175.89,1993
2175.89,2095
2175.89,2031
2175.89,1949
2175.89,1951
2175.89,2056
2175.89,2156
2175.89,2163
2175.89,2065
2175.89,715
2175.97,1865
2175.97,1861
2175.97,1829
2175.97,1827
2175.97,1909
2175.97,1997
2175.97,1991
2175.97,1913
2175.97,1821
2175.97,1811
2176.04,1862
2176.04,1876
2176.04,1839
2176.04,1807
2176.04,1833
2176.04,1918
2176.04,2005
2176.04,2045
2176.04,2055
2176.04,2075
2176.04,2079
2176.1,2028
2176.1,1903
2176.1,1781
2176.1,1804
2176.1,1913
2176.1,1978
2176.1,1987
2176.1,1991
2176.1,1993
2176.1,2007
2176.1,1993
2176.17,2006
2176.17,2059
2176.17,2075
2176.17,2085
2176.17,2077
2176.17,2094
2176.17,2153
2176.17,2215
2176.17,2187
2176.17,2089
2176.24,2069
2176.24,2141
2176.24,2159
2176.24,2165
2176.24,2125
2176.24,2029
2176.24,1892
2176.24,1725
2176.24,1637
2176.24,1639
2176.24,1707
2176.3,1757
2176.3,1743
2176.3,1711
2176.3,1737
2176.3,1833
2176.3,1919
2176.3,1941
2176.3,1919
2176.3,1951
2176.3,1963
2176.3,1909
2176.37,1811
2176.37,1753
2176.37,1811
2176.37,1875
2176.37,1863
2176.37,1787
2176.37,1705
2176.37,1683
2176.37,1692
2176.37,1578
2176.45,1893
2176.45,1930
2176.45,1919
2176.45,1896
2176.45,1848
2176.45,1785
2176.45,1752
2176.45,1736
2176.45,1719
2176.45,1712
2176.51,1774
2176.51,1903
2176.51,2011
2176.51,2041
2176.51,2043
2176.51,2079
2176.51,2104
2176.51,2093
2176.51,2117
2176.51,2104
2176.51,2003
2176.58,1835
2176.58,1701
2176.58,1653
2176.58,1705
2176.58,1785
2176.58,1831
2176.58,1823
2176.58,1784
2176.58,1721
2176.58,1710
2176.58,1780
2176.65,1879
2176.65,1956
2176.65,1959
2176.65,1893
2176.65,1804
2176.65,1709
2176.65,1677
2176.65,1767
2176.65,1885
2176.65,1961
2176.71,676
2176.71,751
2176.71,960
2176.71,1157
2176.71,1311
2176.71,1553
2176.71,1781
2176.71,1899
2176.71,1880
2176.71,1807
2176.71,1717
2176.78,1705
2176.78,1757
2176.78,1798
2176.78,1741
2176.78,1673
2176.78,1636
2176.78,1673
2176.78,1745
2176.78,1811
2176.78,1871
2176.78,1939
2176.85,2024
2176.85,2135
2176.85,2270
2176.85,2373
2176.85,2327
2176.85,2185
2176.85,2023
2176.85,1879
2176.85,1788
2176.85,1763
2176.85,2269
2176.92,1763
2176.92,1829
2176.92,1862
2176.92,1855
2176.92,1892
2176.92,1973
2176.92,2022
2176.92,1977
2176.92,1895
2176.92,1863
2176.99,1815
2176.99,1725
2176.99,1656
